timestamp,source_ip,source_port,destination_ip,destination_port,attack_type,protocol,severity,detected_patterns,session_id
2025-05-15T12:50:58.385312,127.0.0.1,49236,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.293272,127.0.0.1,49235,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.262914,127.0.0.1,49234,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.246402,127.0.0.1,49233,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.231208,127.0.0.1,49232,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.133839,127.0.0.1,49231,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.124567,127.0.0.1,49230,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.115692,127.0.0.1,49228,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:58.079389,127.0.0.1,49227,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306258-127.0.0.1
2025-05-15T12:50:57.829764,127.0.0.1,49226,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.820862,127.0.0.1,49225,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.812493,127.0.0.1,49224,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.803280,127.0.0.1,49223,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.751549,127.0.0.1,49221,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.742182,127.0.0.1,49220,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.732083,127.0.0.1,49219,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.696349,127.0.0.1,49218,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.566493,127.0.0.1,49217,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.302645,127.0.0.1,49215,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.095510,127.0.0.1,49213,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:57.084267,127.0.0.1,49212,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306257-127.0.0.1
2025-05-15T12:50:56.817364,127.0.0.1,49211,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.760170,127.0.0.1,49210,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.751968,127.0.0.1,49209,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.742301,127.0.0.1,49208,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.682518,127.0.0.1,49204,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.673486,127.0.0.1,49203,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.663662,127.0.0.1,49202,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.647059,127.0.0.1,49201,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.600826,127.0.0.1,49200,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.522579,127.0.0.1,49198,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.472588,127.0.0.1,49196,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.461572,127.0.0.1,49197,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.445201,127.0.0.1,49195,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.365397,127.0.0.1,49193,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.334641,127.0.0.1,49191,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.255956,127.0.0.1,49189,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.222999,127.0.0.1,49185,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.210797,127.0.0.1,49184,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.197770,127.0.0.1,49183,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.187995,127.0.0.1,49181,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.178347,127.0.0.1,49180,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.162396,127.0.0.1,49179,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.147350,127.0.0.1,49178,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.061254,127.0.0.1,49174,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.051177,127.0.0.1,49172,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.040959,127.0.0.1,49170,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.030340,127.0.0.1,49171,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.018695,127.0.0.1,49169,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:56.006979,127.0.0.1,49167,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306256-127.0.0.1
2025-05-15T12:50:55.996219,127.0.0.1,49168,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.983397,127.0.0.1,49166,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.947362,127.0.0.1,49165,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.774899,127.0.0.1,49163,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.745525,127.0.0.1,49159,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.732127,127.0.0.1,49158,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.706792,127.0.0.1,49157,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.694969,127.0.0.1,49154,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.665755,127.0.0.1,65533,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.654671,127.0.0.1,65534,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.635485,127.0.0.1,65532,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.624902,127.0.0.1,65530,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.613857,127.0.0.1,65529,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.576150,127.0.0.1,65531,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.292826,127.0.0.1,65527,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.231424,127.0.0.1,65525,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.170070,127.0.0.1,65524,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:55.019377,127.0.0.1,65521,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306255-127.0.0.1
2025-05-15T12:50:54.981375,127.0.0.1,65520,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.734686,127.0.0.1,65517,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.721397,127.0.0.1,65518,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.651261,127.0.0.1,65513,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.641264,127.0.0.1,65512,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.578249,127.0.0.1,65507,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.561134,127.0.0.1,65505,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.550332,127.0.0.1,65504,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.452712,127.0.0.1,65502,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.407753,127.0.0.1,65499,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.390265,127.0.0.1,65497,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.374718,127.0.0.1,65496,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.250436,127.0.0.1,65493,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.188092,127.0.0.1,65491,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.138138,127.0.0.1,65487,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.126391,127.0.0.1,65486,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.109677,127.0.0.1,65482,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.095115,127.0.0.1,65480,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.084629,127.0.0.1,65479,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.074169,127.0.0.1,65478,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.064549,127.0.0.1,65477,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.054278,127.0.0.1,65476,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.042980,127.0.0.1,65475,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:54.032834,127.0.0.1,65474,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306254-127.0.0.1
2025-05-15T12:50:53.952619,127.0.0.1,65465,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.941710,127.0.0.1,65466,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.920593,127.0.0.1,65462,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.909184,127.0.0.1,65461,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.898255,127.0.0.1,65460,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.887209,127.0.0.1,65459,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.876108,127.0.0.1,65458,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.864949,127.0.0.1,65457,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.828555,127.0.0.1,65456,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.630087,127.0.0.1,65450,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.618957,127.0.0.1,65449,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.609099,127.0.0.1,65448,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.598266,127.0.0.1,65447,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.547373,127.0.0.1,65442,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.537283,127.0.0.1,65441,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.520637,127.0.0.1,65438,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.505710,127.0.0.1,65437,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.495043,127.0.0.1,65436,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.484831,127.0.0.1,65435,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.474669,127.0.0.1,65434,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.464652,127.0.0.1,65433,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.426765,127.0.0.1,65432,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.158477,127.0.0.1,65429,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:53.018722,127.0.0.1,65427,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306253-127.0.0.1
2025-05-15T12:50:52.910081,127.0.0.1,65424,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.642815,127.0.0.1,65421,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.627791,127.0.0.1,65420,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.596482,127.0.0.1,65417,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.579780,127.0.0.1,65416,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.517960,127.0.0.1,65413,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.502514,127.0.0.1,65412,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.457562,127.0.0.1,65410,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.411482,127.0.0.1,65409,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.380851,127.0.0.1,65407,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.333069,127.0.0.1,65404,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.303175,127.0.0.1,65402,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.177502,127.0.0.1,65400,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.130054,127.0.0.1,65398,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.115171,127.0.0.1,65397,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.060801,127.0.0.1,65393,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:52.050245,127.0.0.1,65392,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306252-127.0.0.1
2025-05-15T12:50:51.992875,127.0.0.1,65386,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.969869,127.0.0.1,65383,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.959452,127.0.0.1,65382,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.949986,127.0.0.1,65381,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.939724,127.0.0.1,65380,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.928747,127.0.0.1,65379,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.880610,127.0.0.1,65376,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.868186,127.0.0.1,65375,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.857676,127.0.0.1,65373,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.847865,127.0.0.1,65372,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.836761,127.0.0.1,65371,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.787272,127.0.0.1,65363,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.774306,127.0.0.1,65364,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.759549,127.0.0.1,65362,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.748095,127.0.0.1,65361,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.737217,127.0.0.1,65360,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.725732,127.0.0.1,65359,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.680350,127.0.0.1,65358,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.540685,127.0.0.1,65353,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.523279,127.0.0.1,65352,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.488271,127.0.0.1,65349,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.478610,127.0.0.1,65348,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.445519,127.0.0.1,65345,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.429344,127.0.0.1,65344,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.367817,127.0.0.1,65338,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
2025-05-15T12:50:51.357705,127.0.0.1,65337,localhost,8000,ddos,HTTP,high,high_connection_rate,ddos-1747306251-127.0.0.1
